step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,225,1,0.1454207720483663,0.0,0.25,0.14356452236064748,0.0,0.0,,
2,466,2,0.10189438520565197,0.0,0.0,,,,,
3,699,3,0.10663510829498057,0.0,0.3333333333333333,,,,,
4,924,4,0.06809393107323422,0.0,0.5,,,,,
5,1165,5,0.0532181674173864,0.0,0.6666666666666666,,,,,
6,1382,6,0.04810884346236822,0.0,0.6666666666666666,,,,,
7,1615,7,0.03681214967142641,0.0,0.6666666666666666,,,,,
8,1832,8,0.06839590056109908,0.0,0.5,,,,,
9,2041,9,0.11616226202601446,0.0,0.0,0.08851280006010398,0.0,0.0,,
10,2282,10,0.04083153582118984,0.0,0.5,,,,,
11,2523,11,0.082452899872427,0.0,0.0,,,,,
12,2748,12,0.06929857892085432,0.0,0.0,,,,,
13,2957,13,0.04866481771244883,0.0,0.5,,,,,
14,3182,14,0.07094518513697519,0.0,0.5,,,,,
15,3431,15,0.031179733422055992,0.0,0.5,,,,,
16,3672,16,0.051255956278142695,0.0,0.75,,,,,
17,3889,17,0.031100918540300875,1.0,1.0,0.044863992126554675,0.0,0.5,,
18,4130,18,0.04946206576173003,0.0,0.75,,,,,
19,4347,19,0.05375419323152713,0.0,0.75,,,,,
20,4572,20,0.06031730506584393,0.0,0.0,,,,,
21,4805,21,0.028421919267217665,1.0,1.0,,,,,
22,5022,22,0.04377774245476488,0.0,0.5,,,,,
23,5255,23,0.028997861583649927,1.0,1.0,,,,,
24,5480,24,0.03349902993055496,0.0,0.6666666666666666,,,,,
25,5705,25,0.037492229453123395,0.0,0.5,0.03689686551236079,0.0,0.75,,
26,5930,26,0.0850790269377824,0.0,0.5,,,,,
27,6155,27,0.030269033832850515,0.0,0.75,,,,,
28,6364,28,0.03719904103915164,0.0,0.5,,,,,
29,6597,29,0.03773526066425457,0.0,0.5,,,,,
30,6822,30,0.02421706440029043,1.0,1.0,,,,,
31,7047,31,0.06001983503350207,0.0,0.3333333333333333,,,,,
32,7256,32,0.0375321808890385,0.0,0.75,,,,,
33,7497,33,0.03404398148590114,0.0,0.5,0.026112226587124282,1.0,1.0,,
34,7730,34,0.0346895131624723,0.0,0.5,,,,,
35,7955,35,0.03444022179612797,0.0,0.5,,,,,
36,8180,36,0.03037405259834626,0.0,0.5,,,,,
37,8397,37,0.0451356069545771,0.0,0.6666666666666666,,,,,
38,8622,38,0.033764939189698785,0.0,0.5,,,,,
39,8879,39,0.02658767202413699,1.0,1.0,,,,,
40,9104,40,0.03196833597084281,0.0,0.5,,,,,
41,9329,41,0.04827099497199502,0.0,0.75,0.0473470100765351,0.0,0.75,,
42,9546,42,0.03699077284554059,0.0,0.6666666666666666,,,,,
43,9747,43,0.031898610668571206,0.0,0.6666666666666666,,,,,
44,9996,44,0.03614070995066879,0.0,0.5,,,,,
45,10237,45,0.034290821278341356,1.0,1.0,,,,,
46,10478,46,0.039367783097223455,0.0,0.75,,,,,
47,10655,47,0.05408823739369546,0.0,0.75,,,,,
48,10896,48,0.02836872327998738,0.0,0.5,,,,,
49,11121,49,0.042265495528505746,0.0,0.75,0.03670568779966633,0.0,0.75,,
50,11346,50,0.0305988245465606,1.0,1.0,,,,,
51,11579,51,0.03274046486123715,0.0,0.6666666666666666,,,,,
52,11796,52,0.03499053671011266,0.0,0.6666666666666666,,,,,
53,12013,53,0.040625470138843586,0.0,0.75,,,,,
54,12246,54,0.03092430416757645,0.0,0.5,,,,,
55,12463,55,0.030066054476507426,0.0,0.5,,,,,
56,12680,56,0.02492123792323245,1.0,1.0,,,,,
57,12905,57,0.026915530571634948,0.0,0.75,0.022708537955806712,1.0,1.0,,
58,13146,58,0.03251967818024544,0.0,0.5,,,,,
59,13363,59,0.023339679532817393,1.0,1.0,,,,,
60,13580,60,0.024885721397725116,1.0,1.0,,,,,
61,13805,61,0.0334651067239026,0.0,0.5,,,,,
62,14038,62,0.021577975186590517,1.0,1.0,,,,,
63,14279,63,0.018769575839311072,1.0,1.0,,,,,
64,14520,64,0.033668430376185825,1.0,1.0,,,,,
65,14769,65,0.02497481565103568,0.0,0.5,0.023716023430463574,1.0,1.0,,
66,14986,66,0.030156103838034125,0.0,0.75,,,,,
67,15219,67,0.018818642386849566,1.0,1.0,,,,,
68,15444,68,0.024916589778106624,1.0,1.0,,,,,
69,15685,69,0.018977789880349063,1.0,1.0,,,,,
70,15934,70,0.052810653749636456,0.0,0.6666666666666666,,,,,
71,16175,71,0.02499179050625495,1.0,1.0,,,,,
72,16392,72,0.04670605708671827,0.0,0.75,,,,,
73,16609,73,0.023812413220327504,1.0,1.0,0.03326860877150168,0.0,0.75,,
74,16842,74,0.03465745147397606,0.0,0.6666666666666666,,,,,
